-8;7;66;-8;7;66;-10;7;67;-8;8;67;-9;9;66;-10;9;66;-7;9;66;-9;8;66;-8;5;67;-10;9;66;0
-11;0;67;-11;0;66;-12;0;66;-11;0;66;-13;0;66;-11;0;65;-12;0;68;-12;0;66;-12;0;66;-13;0;67;0
-1;19;64;-2;18;67;-3;17;67;-2;19;64;-1;17;67;-3;18;65;-3;17;65;-2;18;65;-3;17;63;-2;17;66;0
-11;14;76;-9;9;75;-10;8;70;-14;5;87;-7;11;77;-8;20;61;13;46;18;19;58;-12;12;62;-16;6;54;15;1
-14;13;61;-17;12;65;-23;9;83;-22;11;81;-19;18;70;-7;28;55;9;43;22;17;61;-13;19;64;-7;11;60;10;1
-16;17;66;-29;12;94;-20;20;85;-14;31;47;7;46;14;15;61;0;18;63;-5;8;54;19;0;48;37;0;36;51;1
-2;33;59;-1;25;53;9;0;41;0;-4;45;-15;-30;68;-6;-43;74;9;-52;95;6;-48;77;-6;-37;67;5;-16;43;2
-4;10;59;9;7;57;13;-12;30;0;-30;52;-2;-57;67;14;-65;68;28;-60;67;5;-60;63;0;-38;51;0;-16;45;2
-1;10;66;0;9;65;14;-5;39;-5;-20;45;-3;-46;45;-1;-71;62;0;-62;65;10;-65;64;-5;-55;65;0;-30;48;2
-17;-6;63;-16;0;65;-21;10;72;-19;8;62;47;8;40;50;-1;30;60;-10;41;56;-9;43;52;-4;43;37;0;55;3
-12;8;70;-13;8;71;7;11;59;36;9;44;50;-1;34;52;-5;39;56;-5;39;54;-4;42;42;0;43;30;0;53;3
-7;7;67;-14;6;71;0;7;67;31;6;45;55;-1;39;53;-4;37;53;-3;38;50;-1;40;40;0;52;19;5;55;3
-2;7;68;-29;8;58;-53;10;43;-60;9;30;-63;10;17;-69;8;5;-69;10;0;-71;9;8;-51;7;33;-44;10;47;4
-1;11;66;0;11;69;-17;9;59;-57;8;36;-66;10;16;-69;12;12;-69;11;7;-68;9;11;-62;11;23;-51;11;39;4
-8;9;66;-7;10;63;-54;5;39;-70;7;11;-68;7;0;-70;8;-2;-75;9;0;-63;8;20;-51;6;38;-15;10;59;4
0;11;68;0;12;68;-11;10;59;-44;8;35;-55;14;7;-63;19;-25;-59;23;-29;-54;24;-30;-49;24;-30;-51;25;-33;5
0;17;66;9;16;66;-36;12;48;-53;11;14;-71;19;-20;-62;17;-26;-53;19;-33;-46;22;-31;-49;23;-34;-49;24;-35;5
9;13;66;0;13;62;13;11;68;-32;7;44;-67;11;-11;-66;14;-25;-58;17;-32;-54;21;-31;-52;20;-33;-52;20;-35;5
-19;-1;67;-18;-1;65;-20;-1;65;-17;0;65;-18;0;66;-19;0;65;-19;-1;65;-18;-1;67;-19;0;66;-20;-1;66;0
-13;6;66;-14;0;70;-22;0;83;-21;7;80;-14;23;55;6;43;25;18;62;0;11;56;13;-9;39;44;-14;26;65;1
-16;23;63;-10;16;58;-2;-3;51;-13;-6;55;-3;-18;70;-3;-36;75;0;-34;84;-12;-35;70;-10;-27;65;-8;-11;48;2
-11;5;67;-8;5;68;-9;8;69;-17;5;53;65;-3;42;48;-5;45;49;-9;50;46;-3;53;20;0;61;-13;-1;66;3
0;6;69;-14;7;60;-41;6;50;-76;7;0;-75;6;0;-67;7;17;-55;6;37;-34;9;53;0;12;67;-5;10;66;4
-5;12;66;-1;12;64;-55;8;33;-68;14;-14;-62;26;-26;-58;28;-31;-52;24;-32;-49;24;-35;-47;23;-34;-49;23;-35;5
